LSOA21CD,num_sales,total_floor_area,total_price,price_per_sqm,adj_price_per_sqm
E01033866,565,41374.0,404063919.0,9766,13053
E01035717,723,61033.16640000001,517838032.0,8485,13004
E01002913,934,88985.69500000002,708263419.0,7959,12985
E01035485,243,18092.589999999997,176967405.0,9781,12975
E01004647,555,76926.93999999997,656296777.0,8531,12970
E01002845,676,62758.0012,513078042.0,8176,12958
E01004733,1222,96532.28,787015083.0,8153,12857
E01001893,348,28839.910000000003,261138656.0,9055,12826
E01035489,663,55031.43000000001,493585159.0,8969,12775
E01002887,678,65532.34,527156338.0,8044,12768
E01004646,480,82900.76000000004,689538273.0,8318,12739
E01033711,930,60924.44999999996,555931635.0,9125,12692
E01002868,636,104747.87579999997,853849937.0,8151,12689
E01032739,1411,90865.794,752966015.0,8287,12638
E01033708,753,58322.84,517539576.0,8874,12616
E01034031,557,39495.0,366528109.0,9280,12599
E01002839,774,62422.745399999985,487008848.0,7802,12506
E01004693,698,79004.06229999999,634027389.0,8025,12500
E01004743,722,51050.600000000006,404588047.0,7925,12473
E01004715,627,37986.48799999999,313508411.0,8253,12465
E01004649,651,75422.155,599130953.0,7944,12437
E01004730,870,85325.01999999999,675903003.0,7922,12431
E01000851,449,29094.627999999997,228780509.0,7863,12363
E01002884,426,40466.81040000001,321919333.0,7955,12356
E01032772,792,46651.96,404523484.0,8671,12333
E01002866,537,62581.550800000005,482810539.0,7715,12284
E01033594,749,56397.143000000004,441192283.0,7823,12277
E01004714,934,94124.72700000003,730102160.0,7757,12256
E01004732,144,10132.04,82138908.0,8107,12255
E01002834,740,84099.24210000003,640709498.0,7618,12159
E01035703,620,37630.73,333401808.0,8860,12156
E01000896,432,58322.23000000002,457331916.0,7841,12151
E01035719,671,49386.18000000001,399415292.0,8088,12131
E01002697,233,16150.91,141583276.0,8766,12114
E01004703,971,114281.28799999997,885681227.0,7750,12111
E01004716,690,86559.89000000004,669974181.0,7740,12102
E01000857,258,28839.969999999987,231456864.0,8026,12102
E01004662,716,63742.769999999975,498093757.0,7814,12095
E01002888,1221,95406.35320000003,704434071.0,7384,12082
E01034193,363,24355.0,224374900.0,9213,12036
E01004750,682,53673.33900000001,414586720.0,7724,12024
E01032782,1394,87620.5,753184218.0,8596,11960
E01004725,667,59475.509999999995,450691998.0,7578,11947
E01000893,373,52919.87000000001,415450131.0,7851,11936
E01000895,542,46577.753000000026,354076941.0,7602,11936
E01002892,762,87766.27059999997,648347671.0,7387,11891
E01000914,628,41425.74299999999,312812582.0,7551,11887
E01004694,580,56339.024,426369682.0,7568,11872
E01000898,269,27020.800000000003,212634200.0,7869,11862
E01004680,847,102218.93000000002,773425360.0,7566,11854
E01000863,274,25805.280000000002,205777951.0,7974,11835
E01003930,484,36339.45999999999,308831433.0,8499,11785
E01000918,456,33175.2812,246665126.0,7435,11780
E01000939,130,8906.629999999997,73504448.0,8253,11780
E01002885,617,48652.32600000002,364418949.0,7490,11771
E01032771,911,60516.622,465424221.0,7691,11767
E01032789,724,62223.572000000015,458942973.0,7376,11766
E01033865,354,29566.203999999994,255406101.0,8638,11717
E01000937,337,17636.32,136832040.0,7759,11650
E01004744,435,32429.570000000003,243344942.0,7504,11616
E01000948,354,41611.81,309866033.0,7447,11602
E01000206,354,124970.71999999999,946369941.0,7573,11573
E01003935,265,24384.860000000004,175675713.0,7204,11544
E01004724,741,63802.770000000004,464108917.0,7274,11518
E01004663,745,76759.584,570541085.0,7433,11478
E01034188,602,41990.0,364168158.0,8673,11463
E01002831,378,30434.099999999995,226187346.0,7432,11461
E01002849,758,64029.13399999999,463116260.0,7233,11442
E01002700,523,62700.96399999999,468253612.0,7468,11431
E01000897,547,69703.34999999996,514475593.0,7381,11427
E01002829,270,28072.36999999999,210104173.0,7484,11421
E01004683,788,107668.17000000001,797866809.0,7410,11420
E01000884,510,94500.26999999993,706144303.0,7472,11413
E01002794,539,52926.450999999994,407322794.0,7696,11399
E01000850,329,28423.56999999998,208639798.0,7340,11388
E01004700,742,60152.77499999998,435070478.0,7233,11382
E01035490,927,92642.62100000001,687069730.0,7416,11381
E01001946,473,44666.799999999996,366733078.0,8210,11372
E01004749,699,56432.48000000001,409612046.0,7258,11354
E01035487,379,31752.030000000002,248346575.0,7821,11326
E01032790,602,60681.43299999998,425376771.0,7010,11324
E01000862,846,98170.80799999999,725535483.0,7391,11318
E01004698,483,42544.626,303338649.0,7130,11307
E01000002,623,46797.21999999999,350740270.0,7495,11255
E01002800,362,23076.86,185480878.0,8038,11235
E01004727,1441,134969.328,944471575.0,6998,11190
E01000843,584,46804.98,339581225.0,7255,11180
E01035700,644,38532.0,326839775.0,8482,11167
E01035722,564,44332.605,304194419.0,6862,11152
E01000913,633,96184.70999999992,695587178.0,7232,11136
E01000878,759,81017.62999999998,594179068.0,7334,11125
E01004747,1019,78856.82,550818824.0,6985,11112
E01033876,498,32626.42,269889478.0,8272,11112
E01004737,400,42414.0384,292140487.0,6888,11070
E01000880,429,58065.71599999997,411773441.0,7092,11067
E01000213,305,75872.49000000002,554215342.0,7305,11064
E01002894,726,61037.49960000001,423872689.0,6944,11057
E01002815,741,55742.509999999995,388824162.0,6975,11031
E01001891,928,88536.41000000003,681134606.0,7693,10997
E01033868,585,37466.18000000001,288195605.0,7692,10997
E01004682,546,41268.14000000001,283748649.0,6876,10991
E01035701,639,40406.0,334532294.0,8279,10990
E01000882,526,55726.134999999995,393825270.0,7067,10976
E01004582,1149,130654.63999999997,921297466.0,7051,10968
E01000920,418,38769.21999999999,276490290.0,7132,10932
E01000892,478,41648.920000000035,303573548.0,7289,10907
E01035669,506,32704.13,248696284.0,7604,10899
E01000855,1141,47780.31000000001,336284175.0,7038,10880
E01000879,428,51413.57000000001,365350065.0,7106,10876
E01000848,637,62664.479999999996,440299028.0,7026,10857
E01001916,646,80010.59000000003,564293412.0,7053,10828
E01000943,467,20056.639999999996,139631863.0,6962,10828
E01001866,596,61004.41,446953078.0,7327,10820
E01002840,242,18758.84,126377834.0,6737,10804
E01002008,437,98286.99800000004,697905408.0,7101,10784
E01004699,755,60855.02999999998,416045301.0,6837,10782
E01002850,601,50109.398400000005,338461758.0,6754,10776
E01001880,601,41480.39000000001,295138234.0,7115,10761
E01004648,1150,117692.36899999998,805080874.0,6841,10756
E01004656,1018,66031.40999999997,453665941.0,6870,10739
E01002801,594,58653.516000000025,410313228.0,6996,10717
E01002897,505,42676.64499999999,292849024.0,6862,10702
E01000136,464,95509.54999999994,667314850.0,6987,10661
E01000958,398,29788.42,218112344.0,7322,10619
E01002802,570,57624.680000000015,399303737.0,6929,10618
E01004651,1582,104562.0,692050314.0,6619,10582
E01004695,769,57419.471999999965,380484032.0,6626,10574
E01003112,560,42950.8,284141653.0,6616,10552
E01002729,356,30906.540000000005,214544976.0,6942,10548
E01000842,580,54090.72000000001,364446274.0,6738,10537
E01003821,932,89613.50799999997,623896651.0,6962,10503
E01004681,1222,86145.33499999999,556148086.0,6456,10502
E01003016,646,41662.78000000001,259273849.0,6223,10494
E01002703,759,49152.399999999994,342961972.0,6978,10482
E01003876,934,85699.31,582940214.0,6802,10472
E01002869,526,50018.219999999994,327053517.0,6539,10452
E01001881,651,70648.09000000004,491283350.0,6954,10447
E01002573,430,65119.19999999997,441276591.0,6776,10445
E01004753,705,48699.755000000005,320025221.0,6571,10433
E01001377,519,70516.06999999996,482520945.0,6843,10425
E01004660,783,88677.98000000001,596907767.0,6731,10424
E01004726,903,109001.44000000003,735103494.0,6744,10419
E01002852,176,11607.54,85238875.0,7343,10411
E01000956,222,15510.759999999998,106361763.0,6857,10397
E01034044,585,50331.05000000002,355778204.0,7069,10347
E01003460,633,113754.97,762207523.0,6700,10329
E01002698,911,69460.94999999997,478114746.0,6883,10328
E01004751,658,62695.64000000004,409825575.0,6537,10314
E01004742,514,38261.05000000002,252368430.0,6596,10299
E01002704,894,64862.68800000004,431537329.0,6653,10285
E01000849,731,52636.35000000001,349820436.0,6646,10274
E01000003,884,47851.030000000006,322219519.0,6734,10266
E01032583,417,29333.91,203539081.0,6939,10257
E01035704,673,41330.94,281922744.0,6821,10213
E01004748,622,69655.5088,462654391.0,6642,10202
E01003879,626,78019.68200000002,516742981.0,6623,10194
E01004752,512,33462.67,208255715.0,6224,10183
E01002719,632,60223.400000000016,396944054.0,6591,10176
E01034217,205,13054.869999999999,98834952.0,7571,10170
E01000909,394,48861.613000000005,333877065.0,6833,10167
E01000001,819,54872.45979999998,355598482.0,6480,10145
E01001921,497,64218.57,424514712.0,6610,10133
E01035644,571,39133.26999999998,261209402.0,6675,10123
E01035711,744,44252.52299999998,281772761.0,6367,10095
E01003017,222,17462.774000000005,114708875.0,6569,10092
E01034178,571,39304.0,285948561.0,7275,10071
E01000910,262,34587.59999999999,233251448.0,6744,10064
E01001943,407,35118.60999999998,243690465.0,6939,10021
E01000868,174,11549.369999999999,82834789.0,7172,10001
E01035658,333,22843.700000000004,175356265.0,7676,10001
E01001933,429,47492.01999999999,315543459.0,6644,9993
E01033489,1027,89947.29199999996,560980030.0,6237,9986
E01000845,688,60126.390000000014,387395140.0,6443,9984
E01032788,687,68559.4828,457698269.0,6676,9972
E01000853,188,10937.639999999998,70845288.0,6477,9965
E01032834,1049,87950.08999999997,542221933.0,6165,9963
E01002791,508,49793.73900000002,325086647.0,6529,9962
E01003461,781,102331.16000000003,663851992.0,6487,9937
E01002830,321,27920.500000000015,179945556.0,6445,9927
E01002717,365,36916.69000000001,238122241.0,6450,9921
E01002909,707,59365.42000000002,374820829.0,6314,9920
E01035655,430,38654.763999999996,248041358.0,6417,9920
E01002848,445,30518.300000000003,187830174.0,6155,9905
E01000973,635,44775.390000000014,302626498.0,6759,9891
E01003853,514,76601.86,492781423.0,6433,9883
E01004705,575,56173.33000000002,347698711.0,6190,9880
E01002893,835,61900.61999999999,377749934.0,6103,9840
E01001922,639,107097.01200000003,685945135.0,6405,9835
E01001869,379,57289.765,363677862.0,6348,9832
E01032779,1109,79674.91000000003,490243686.0,6153,9829
E01002690,397,57476.09000000004,376251114.0,6546,9828
E01002792,689,59971.35000000001,381772271.0,6366,9823
E01002867,673,56831.442399999985,345544522.0,6080,9823
E01004697,500,33851.96,207019925.0,6115,9820
E01001851,614,76202.45499999991,489986735.0,6430,9812
E01034191,466,34616.7,253309870.0,7318,9807
E01004668,414,40022.350000000006,252083846.0,6299,9803
E01000883,615,61965.499999999985,396194595.0,6394,9798
E01033709,433,28236.429999999997,193462180.0,6852,9798
E01002846,535,33161.71,202783170.0,6115,9794
E01035647,598,52842.763999999996,344352749.0,6517,9787
E01001925,528,97471.67000000006,611613439.0,6275,9758
E01002856,304,20470.167999999998,124802652.0,6097,9714
E01001924,676,108025.14599999995,670848146.0,6210,9705
E01002905,154,11454.609999999997,73541020.0,6420,9696
E01033493,752,52985.786000000015,350313109.0,6611,9694
E01004658,1368,93434.39299999992,558192988.0,5974,9690
E01003403,701,82336.89,523387949.0,6357,9681
E01000881,540,52364.98799999998,323046838.0,6169,9678
E01001915,635,83129.68000000001,534422812.0,6429,9670
E01003797,426,90571.45070000002,580944672.0,6414,9662
E01035492,721,51712.005000000005,357707400.0,6917,9649
E01032640,1321,107807.75199999932,634240289.0,5883,9644
E01034195,255,16029.0,112224560.0,7001,9639
E01002699,534,46899.52199999999,289491684.0,6173,9636
E01004760,513,42676.21,262046493.0,6140,9630
E01000963,970,101150.11000000003,609643079.0,6027,9616
E01001927,304,53441.106999999975,345412318.0,6463,9613
E01004729,542,48721.75500000003,289849138.0,5949,9608
E01002740,598,63707.89499000006,399405405.0,6269,9598
E01002702,379,29545.496000000006,198487103.0,6718,9587
E01002847,849,68421.93199999997,409029686.0,5978,9574
E01001898,403,38740.65999999999,244309754.0,6306,9571
E01035488,1137,96393.88300000006,595668461.0,6180,9568
E01032776,1365,85802.53,542964193.0,6328,9557
E01004293,1436,119578.68400000005,697980142.0,5837,9550
E01000207,507,67035.909,413317774.0,6166,9534
E01033940,382,24073.0,169877705.0,7057,9524
E01002696,746,62406.26300000003,383655485.0,6148,9518
E01000906,825,57648.92999999999,351722353.0,6101,9511
E01001926,735,91038.03000000006,556131174.0,6109,9510
E01000917,190,9991.7,63000596.0,6305,9502
E01002010,472,60279.74999999996,382357331.0,6343,9496
E01003877,767,99060.31960000002,604766681.0,6105,9488
E01035699,748,38974.009999999995,256074739.0,6570,9488
E01004650,1063,140205.01999999996,849160222.0,6057,9478
E01002728,250,17004.71,102386963.0,6021,9477
E01003798,534,73568.86800000002,454391599.0,6176,9476
E01000551,323,21966.25,146863310.0,6686,9471
E01003013,1423,89573.26999999993,516052293.0,5761,9470
E01035697,762,54595.62339999998,344439978.0,6309,9456
E01033133,753,59837.988,356399719.0,5956,9455
E01003465,413,124947.43000000004,786712638.0,6296,9451
E01004659,941,63874.53339999996,377863357.0,5916,9450
E01000942,412,20038.669999999995,120463463.0,6012,9446
E01033604,131,6671.79,41237463.0,6181,9421
E01000888,286,33268.11759999998,204477520.0,6146,9421
E01035696,751,55646.29399999999,363349759.0,6530,9413
E01002727,707,53821.07000000001,314242655.0,5839,9396
E01035649,475,41589.474,262135054.0,6303,9389
E01002851,467,29132.220999999994,168314139.0,5778,9381
E01000903,444,36434.23999999999,220045891.0,6040,9375
E01004684,931,78985.65800000002,458928837.0,5810,9375
E01002841,431,39772.1858,237487355.0,5971,9364
E01000209,545,55569.10100000001,339257615.0,6105,9359
E01004741,493,29632.270000000004,173396671.0,5852,9330
E01035639,412,26342.709999999992,181551542.0,6892,9325
E01000858,347,24974.49000000001,147057510.0,5888,9324
E01035653,540,34930.72,221448856.0,6340,9320
E01004746,378,21768.58,127952766.0,5878,9311
E01003805,561,104013.6,643878105.0,6190,9307
E01033942,184,11072.0,76051236.0,6869,9286
E01002714,506,46973.330000000016,278623783.0,5932,9280
E01034230,503,34959.0,251054350.0,7181,9270
E01035715,1215,105249.38799999992,607371520.0,5771,9266
E01000844,707,67530.328,395359129.0,5855,9265
E01001951,479,61543.11999999999,367239867.0,5967,9249
E01002726,505,37910.21000000001,220918669.0,5827,9232
E01000908,446,26960.22,165976398.0,6156,9230
E01000929,267,25090.055999999997,149452799.0,5957,9224
E01035712,306,17634.330000000013,102449364.0,5810,9219
E01035687,681,43657.73600000003,260036046.0,5956,9218
E01032719,553,32750.37999999999,204631601.0,6248,9210
E01003933,558,45627.58000000001,292915004.0,6420,9207
E01002876,410,58116.92900000002,353017509.0,6074,9204
E01034042,158,10076.81,66455487.0,6595,9195
E01004707,1059,100299.22999999995,575218836.0,5735,9195
E01001856,221,28907.170000000002,170049173.0,5883,9190
E01033867,312,20898.760000000002,127397102.0,6096,9186
E01001948,692,76321.86440000003,453608607.0,5943,9184
E01003874,1105,86048.648,501881482.0,5833,9168
E01001358,328,26995.260000000002,183092214.0,6782,9141
E01003800,439,73712.79000000002,445131909.0,6039,9134
E01004310,552,32365.54,200926037.0,6208,9119
E01035638,624,45693.69,300023147.0,6566,9119
E01003939,755,50785.35999999999,287328763.0,5658,9112
E01001949,617,84894.73720000003,492731088.0,5804,9107
E01001928,389,47212.75,284592963.0,6028,9099
E01002798,933,92705.99,550565586.0,5939,9096
E01032646,778,60540.789999999964,360498421.0,5955,9094
E01004728,788,62512.56,355384417.0,5685,9091
E01001929,653,65338.16360000002,386210962.0,5911,9090
E01000947,456,30181.789999999994,176299096.0,5841,9088
E01000916,714,55500.16800000002,318033666.0,5730,9083
E01035494,934,56609.40000000001,356967676.0,6306,9081
E01002724,1266,101743.12099999993,561520711.0,5519,9080
E01000915,137,10664.65,62329698.0,5845,9074
E01000552,171,12845.6,84504865.0,6579,9063
E01001950,669,88696.12000000002,516317707.0,5821,9062
E01002795,499,41458.804000000004,244818728.0,5905,9062
E01003806,432,79408.98199999992,479461981.0,6038,9049
E01004701,919,78574.27100000002,445204591.0,5666,9049
E01003873,1076,90032.51199999996,525039386.0,5832,9036
E01000923,362,34431.96,207611773.0,6030,9035
E01001894,390,26317.937999999995,158051311.0,6005,9017
E01002707,588,42971.56000000002,243405228.0,5664,9007
E01033570,1125,114974.72999999991,653245298.0,5682,9006
E01001855,889,60253.579999999994,346247087.0,5746,8985
E01002009,570,69085.86399999999,406706590.0,5887,8985
E01002878,488,37248.9,212464655.0,5704,8978
E01002739,660,61895.549999999945,362787129.0,5861,8976
E01003929,897,71642.20999999999,409452916.0,5715,8967
E01003875,597,83937.8420000001,492676216.0,5870,8966
